species,alive,dead,alv_prop,ded_prop,total_prop,site,uid,date,factor,loc_count,geometry,lon_gda94,lat_gda94,count,avg_alive,avg_dead,avg_total,cor_av_liv,cor_av_ded,cor_av_tot
Exocarpos parvifolia,60.0,10.0,36.36363636363637,47.61904761904761,37.634408602150536,nc01,88,20130414,0.25,7.0,POINT (132.6864534999178 -23.14929813110095),132.6864534999178,-23.149298131100952,7.0,23.571428571428573,3.0,26.571428571428573,5.892857142857143,0.75,6.642857142857143
Eucalyptus microtheca,70.0,2.0,53.43511450381679,28.57142857142857,52.17391304347826,nc02,89,20130414,0.25,7.0,POINT (133.4097638624726 -17.35382382822151),133.40976386247263,-17.353823828221515,7.0,18.714285714285715,1.0,19.714285714285715,4.678571428571429,0.25,4.928571428571429
Excoecaria sp.,27.0,5.0,20.610687022900763,71.42857142857143,23.18840579710145,nc02,89,20130414,0.25,7.0,POINT (133.4097638624726 -17.35382382822151),133.40976386247263,-17.353823828221515,7.0,18.714285714285715,1.0,19.714285714285715,4.678571428571429,0.25,4.928571428571429
Lysiphyllum cunninghamii,31.0,0.0,23.66412213740458,0.0,22.463768115942027,nc02,89,20130414,0.25,7.0,POINT (133.4097638624726 -17.35382382822151),133.40976386247263,-17.353823828221515,7.0,18.714285714285715,1.0,19.714285714285715,4.678571428571429,0.25,4.928571428571429
P. careya,3.0,0.0,2.2900763358778624,0.0,2.1739130434782608,nc02,89,20130414,0.25,7.0,POINT (133.4097638624726 -17.35382382822151),133.40976386247263,-17.353823828221515,7.0,18.714285714285715,1.0,19.714285714285715,4.678571428571429,0.25,4.928571428571429
Eucalyptus microtheca,137.0,20.0,79.1907514450867,90.9090909090909,80.51282051282051,nc03,90,20130414,0.1,7.0,POINT (133.4185896673013 -17.36593027390538),133.41858966730132,-17.365930273905384,7.0,24.714285714285715,3.142857142857143,27.857142857142858,2.4714285714285715,0.3142857142857143,2.785714285714286
Excoecaria parvifolia,29.0,2.0,16.76300578034682,9.090909090909092,15.897435897435896,nc03,90,20130414,0.1,7.0,POINT (133.4185896673013 -17.36593027390538),133.41858966730132,-17.365930273905384,7.0,24.714285714285715,3.142857142857143,27.857142857142858,2.4714285714285715,0.3142857142857143,2.785714285714286
Exocoecaria parvifolia,7.0,0.0,4.046242774566474,0.0,3.5897435897435894,nc03,90,20130414,0.1,7.0,POINT (133.4185896673013 -17.36593027390538),133.41858966730132,-17.365930273905384,7.0,24.714285714285715,3.142857142857143,27.857142857142858,2.4714285714285715,0.3142857142857143,2.785714285714286
Brachychiton diversifolius,4.0,0.0,1.8867924528301887,0.0,1.5037593984962405,lim01,91,20120529,0.1,7.0,POINT (135.7442136556169 -16.31385667595235),135.74421365561693,-16.313856675952348,7.0,30.285714285714285,7.714285714285714,38.0,3.0285714285714285,0.7714285714285715,3.8000000000000003
Carissa lanceolata,2.0,0.0,0.9433962264150944,0.0,0.7518796992481203,lim01,91,20120529,0.1,7.0,POINT (135.7442136556169 -16.31385667595235),135.74421365561693,-16.313856675952348,7.0,30.285714285714285,7.714285714285714,38.0,3.0285714285714285,0.7714285714285715,3.8000000000000003
