site_name,visit_date,latitude,longitude,species,ba_m2ha,uid,datum,geometry,co_ef_nme,leaves,leaves_r2,twigs,bark,bark_r2,wood,wood_r2,branches,branches_r2,stems,stems_r2,agb,agb_r2,root,root_r2,tot_bm,c_leaves,c_twigs,c_bark,c_wood,c_branches,c_stems,c_agb,c_roots,bio_l_kg1ha,bio_t_kg1ha,bio_b_kg1ha,bio_w_kg1ha,bio_br_kg1ha,bio_s_kg1ha,bio_r_kg1ha,bio_agb_kg1ha,c_l_kg1ha,c_t_kg1ha,c_b_kg1ha,c_w_kg1ha,c_br_kg1ha,c_s_kg1ha,c_r_kg1ha,c_agb_kg1ha
NTAGFU0027,20120613,-15.67927,135.4606,Terminalia canescens,0.24,32,gda94,POINT (135.4606 -15.67927),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,22.32,23.279999999999998,90.96,295.92,224.4,386.88,633.6,130.07999999999998,210.73389999999998,229.08969999999997,873.1359,2815.0353,2136.8655,3688.1711999999993,1245.5701999999997,6044.738,448.37,467.5299999999999,1781.91,5744.97,4360.95,7526.879999999999,2541.9799999999996,12336.2
NTAGFU0027,20120613,-15.67927,135.4606,Wrightia saligna,0.1,32,gda94,POINT (135.4606 -15.67927),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,9.3,9.700000000000001,37.9,123.30000000000001,93.5,161.20000000000002,264.0,54.2,210.73389999999998,229.08969999999997,873.1359,2815.0353,2136.8655,3688.1711999999993,1245.5701999999997,6044.738,448.37,467.5299999999999,1781.91,5744.97,4360.95,7526.879999999999,2541.9799999999996,12336.2
NTAGFU0028,20120614,-15.62924,135.4598,Corymbia confertiflora,0.1,33,gda94,POINT (135.4598 -15.62924),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,9.3,9.700000000000001,37.9,123.30000000000001,93.5,161.20000000000002,264.0,54.2,177.28922222222224,192.5645555555556,721.0676666666667,3065.7830000000004,1634.7543333333335,3786.8506666666663,1183.3064444444447,5606.438444444445,377.21111111111117,392.98888888888894,1471.5666666666668,6256.700000000001,3336.2333333333336,7728.266666666666,2414.9111111111115,11441.711111111112
NTAGFU0028,20120614,-15.62924,135.4598,Corymbia ferruginea,0.34,33,gda94,POINT (135.4598 -15.62924),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,31.62,32.980000000000004,128.86,419.22,317.90000000000003,548.08,897.6,184.28,177.28922222222224,192.5645555555556,721.0676666666667,3065.7830000000004,1634.7543333333335,3786.8506666666663,1183.3064444444447,5606.438444444445,377.21111111111117,392.98888888888894,1471.5666666666668,6256.700000000001,3336.2333333333336,7728.266666666666,2414.9111111111115,11441.711111111112
NTAGFU0028,20120614,-15.62924,135.4598,Erythrophleum chlorostachys,0.377777777777778,33,gda94,POINT (135.4598 -15.62924),Erch,154.0,0.75,160.0,401.0,0.95,1044.0,0.92,814.0,0.62,1445.0,0.93,2413.0,0.82,542.0,0.57,2955.0,58.17777777777781,60.44444444444448,151.48888888888897,394.4000000000002,307.5111111111113,545.8888888888891,911.5777777777782,204.75555555555567,177.28922222222224,192.5645555555556,721.0676666666667,3065.7830000000004,1634.7543333333335,3786.8506666666663,1183.3064444444447,5606.438444444445,377.21111111111117,392.98888888888894,1471.5666666666668,6256.700000000001,3336.2333333333336,7728.266666666666,2414.9111111111115,11441.711111111112
NTAGFU0028,20120614,-15.62924,135.4598,Eucalyptus miniata,1.4,33,gda94,POINT (135.4598 -15.62924),Eumi,50.0,0.96,52.0,218.0,0.92,1829.0,0.95,375.0,0.79,2047.0,0.96,2472.0,0.96,542.0,0.57,3014.0,70.0,72.8,305.2,2560.6,525.0,2865.7999999999997,3460.7999999999997,758.8,177.28922222222224,192.5645555555556,721.0676666666667,3065.7830000000004,1634.7543333333335,3786.8506666666663,1183.3064444444447,5606.438444444445,377.21111111111117,392.98888888888894,1471.5666666666668,6256.700000000001,3336.2333333333336,7728.266666666666,2414.9111111111115,11441.711111111112
NTAGFU0028,20120614,-15.62924,135.4598,Eucalyptus phoenicea,0.7,33,gda94,POINT (135.4598 -15.62924),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,65.1,67.89999999999999,265.3,863.0999999999999,654.5,1128.3999999999999,1847.9999999999998,379.4,177.28922222222224,192.5645555555556,721.0676666666667,3065.7830000000004,1634.7543333333335,3786.8506666666663,1183.3064444444447,5606.438444444445,377.21111111111117,392.98888888888894,1471.5666666666668,6256.700000000001,3336.2333333333336,7728.266666666666,2414.9111111111115,11441.711111111112
NTAGFU0028,20120614,-15.62924,135.4598,Eucalyptus tectifica,0.911111111111111,33,gda94,POINT (135.4598 -15.62924),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,84.73333333333332,88.37777777777777,345.3111111111111,1123.3999999999999,851.8888888888888,1468.711111111111,2405.333333333333,493.82222222222214,177.28922222222224,192.5645555555556,721.0676666666667,3065.7830000000004,1634.7543333333335,3786.8506666666663,1183.3064444444447,5606.438444444445,377.21111111111117,392.98888888888894,1471.5666666666668,6256.700000000001,3336.2333333333336,7728.266666666666,2414.9111111111115,11441.711111111112
NTAGFU0028,20120614,-15.62924,135.4598,Petalostigma pubescens,0.266666666666667,33,gda94,POINT (135.4598 -15.62924),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,24.80000000000003,25.8666666666667,101.06666666666679,328.8000000000004,249.33333333333366,429.8666666666672,704.0000000000009,144.5333333333335,177.28922222222224,192.5645555555556,721.0676666666667,3065.7830000000004,1634.7543333333335,3786.8506666666663,1183.3064444444447,5606.438444444445,377.21111111111117,392.98888888888894,1471.5666666666668,6256.700000000001,3336.2333333333336,7728.266666666666,2414.9111111111115,11441.711111111112
NTAGFU0028,20120614,-15.62924,135.4598,Terminalia canescens,0.36,33,gda94,POINT (135.4598 -15.62924),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,33.48,34.92,136.44,443.88,336.59999999999997,580.3199999999999,950.4,195.12,177.28922222222224,192.5645555555556,721.0676666666667,3065.7830000000004,1634.7543333333335,3786.8506666666663,1183.3064444444447,5606.438444444445,377.21111111111117,392.98888888888894,1471.5666666666668,6256.700000000001,3336.2333333333336,7728.266666666666,2414.9111111111115,11441.711111111112
NTAGFU0029,20120615,-15.5381,135.409,Bauhinia cunninghamii,0.3,34,gda94,POINT (135.409 -15.5381),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,27.9,29.099999999999998,113.7,369.9,280.5,483.59999999999997,792.0,162.6,123.96641666666663,134.8003611111111,526.6941944444444,1713.4932499999998,1299.3643055555553,2240.1874444444443,753.2143888888887,3668.793333333333,263.75833333333327,275.10277777777776,1074.886111111111,3496.9249999999997,2651.7638888888887,4571.811111111111,1537.172222222222,7487.333333333333
NTAGFU0029,20120615,-15.5381,135.409,Corymbia bella,0.25,34,gda94,POINT (135.409 -15.5381),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,23.25,24.25,94.75,308.25,233.75,403.0,660.0,135.5,123.96641666666663,134.8003611111111,526.6941944444444,1713.4932499999998,1299.3643055555553,2240.1874444444443,753.2143888888887,3668.793333333333,263.75833333333327,275.10277777777776,1074.886111111111,3496.9249999999997,2651.7638888888887,4571.811111111111,1537.172222222222,7487.333333333333
